[2022/7/29 - 3:19:12] [Warning] gm01 (IP:117.0.24.212) da dua $100 Cash cho NguyenKhoi Rose (IP:116.110.224.126)
[2022/7/29 - 16:35:55] [Warning] GL 02 (IP:103.74.107.216) da dua $1 Cash cho Minh Wibop (IP:123.22.193.12)
[2022/7/29 - 16:36:05] [Warning] GL 02 (IP:103.74.107.216) da dua $2 Cash cho Minh Wibop (IP:123.22.193.12)
[2022/7/30 - 9:11:58] [Warning] GL 02 (IP:139.162.24.236) da dua $1 Cash cho Alex Piley (IP:159.223.93.80)
[2022/7/30 - 11:46:01] [Warning] diep ly (IP:117.0.24.212) da dua $9,333 Cash cho Manas Ciel (IP:115.76.48.226)
[2022/7/30 - 21:45:26] [Warning] diep ly (IP:117.0.24.212) da dua $588 Cash cho nam ngudot (IP:42.112.159.221)
[2022/7/31 - 11:19:15] [Warning] Viet Cong (IP:42.113.156.76) da dua $9,999 Cash cho Van Duc (IP:27.71.108.213)
[2022/7/31 - 11:19:25] [Warning] Viet Cong (IP:42.113.156.76) da dua $9,999 Cash cho Van Duc (IP:27.71.108.213)
[2022/7/31 - 14:14:09] [Warning] Viet Cong (IP:42.113.156.76) da dua $50,000 Cash cho Q huy (IP:27.73.54.64)
[2022/7/31 - 16:26:56] [Warning] Viet Cong (IP:42.113.156.76) da dua $1 Cash cho Kazuto Sebastian (IP:113.164.195.167)
[2022/7/31 - 16:35:54] [Warning] Viet Cong (IP:42.113.156.76) da dua $20,000 Cash cho Manas Ciel (IP:115.76.48.226)
[2022/8/1 - 14:29:54] [Warning] Viet Cong (IP:42.113.156.76) da dua $150 Cash cho Th Pohgn (IP:104.28.242.150)
[2022/8/1 - 14:47:06] [Warning] Viet Cong (IP:42.113.156.76) da dua $300 Cash cho Manas Ciel (IP:14.183.182.61)
