[2022/7/31 - 13:10:26] Viet Cong da thay doi vi tri bat giu  ID 1's .
[2022/7/31 - 13:10:30] Viet Cong da thay doi vi tri bat giu  ID 1's .
[2022/7/31 - 18:55:46] GL 02 da thay doi vi tri bat giu  ID 1's .
[2022/7/31 - 18:56:02] GL 02 has changed the type on Arrest Point ID 1 to 1.
[2022/7/31 - 18:56:11] GL 02 has changed the type on Arrest Point ID 1 to 2.
[2022/7/31 - 18:56:17] GL 02 has changed the type on Arrest Point ID 1 to 3.
[2022/7/31 - 18:56:23] GL 02 has changed the type on Arrest Point ID 1 to 4.
[2022/7/31 - 18:56:29] GL 02 has changed the type on Arrest Point ID 1 to 5.
[2022/7/31 - 18:56:36] GL 02 has changed the type on Arrest Point ID 1 to 2.
[2022/7/31 - 18:57:24] GL 02 has changed the type on Arrest Point ID 1 to 3.
[2022/7/31 - 18:57:31] GL 02 has changed the type on Arrest Point ID 1 to 4.
[2022/7/31 - 18:57:54] GL 02 has changed the type on Arrest Point ID 1 to 1.
[2022/7/31 - 18:58:02] GL 02 has changed the type on Arrest Point ID 1 to 7.
[2022/7/31 - 18:58:06] GL 02 has changed the type on Arrest Point ID 1 to 0.
[2022/7/31 - 18:59:29] GL 02 has changed the type on Arrest Point ID 1 to 2.
