[2020/5/16 - 9:47:29] Dep_Trai (ID: 0 | SQL ID: 494 | Level: 1 | IP: 192.168.0.105) has logged in.
[2020/5/16 - 9:56:03] Dep_Trai (ID: 0 | SQL ID: 494 | Level: 1 | IP: 192.168.0.105) has logged in.
[2020/5/16 - 9:59:37] Dep_Trai (ID: 0 | SQL ID: 494 | Level: 1 | IP: 192.168.0.105) has logged in.
[2020/5/16 - 10:01:52] Dep_Trai (ID: 0 | SQL ID: 494 | Level: 1 | IP: 192.168.0.105) has logged in.
[2020/5/16 - 10:04:20] Dep_Trai (ID: 0 | SQL ID: 494 | Level: 1 | IP: 192.168.0.105) has logged in.
[2020/5/16 - 19:41:19] Dep_Trai (ID: 0 | SQL ID: 494 | Level: 1 | IP: 192.168.0.105) has logged in.
[2020/5/23 - 19:50:47] Dawkin_Nguyen (ID: 0 | SQL ID: 1 | Level: 6 | IP: 192.168.0.105) has logged in.
[2020/5/23 - 19:50:51] Dawkin_Nguyen (ID: 0 | SQL ID: 1 | Level: 6 | IP: 192.168.0.105) has disconnected.
[2020/5/23 - 19:51:46] deptrai_squa (ID: 0 | SQL ID: 495 | Level: 1 | IP: 192.168.0.105) has logged in.
[2020/5/23 - 19:53:06] deptrai_squa (ID: 0 | SQL ID: 495 | Level: 1 | IP: 192.168.0.105) has logged in.
[2020/5/23 - 19:54:07] deptrai_squa (ID: 0 | SQL ID: 495 | Level: 1 | IP: 192.168.0.105) has disconnected.
[2020/5/23 - 19:56:52] deptrai_squa (ID: 0 | SQL ID: 495 | Level: 1 | IP: 192.168.0.105) has logged in.
[2020/5/23 - 19:58:48] deptrai_squas (ID: 0 | SQL ID: 496 | Level: 1 | IP: 192.168.0.105) has logged in.
[2020/5/23 - 19:59:06] deptrai_squas (ID: 0 | SQL ID: 496 | Level: 1 | IP: 192.168.0.105) has disconnected.
[2020/6/2 - 5:53:37] Dawkin_Nguyen (ID: 0 | SQL ID: 1 | Level: 6 | IP: 127.0.0.1) has logged in.
[2020/6/2 - 6:17:11] Dawkin_Nguyen (ID: 0 | SQL ID: 1 | Level: 6 | IP: 127.0.0.1) has logged in.
[2020/6/2 - 6:31:39] Dawkin_Nguyen (ID: 0 | SQL ID: 1 | Level: 6 | IP: 127.0.0.1) has logged in.
[2020/6/2 - 6:34:58] Dawkin_Nguyen (ID: 0 | SQL ID: 1 | Level: 6 | IP: 127.0.0.1) has logged in.
[2020/6/2 - 6:38:58] Dawkin_Nguyen (ID: 0 | SQL ID: 1 | Level: 6 | IP: 127.0.0.1) has logged in.
[2020/6/2 - 6:45:57] Dawkin_Nguyen (ID: 0 | SQL ID: 1 | Level: 6 | IP: 127.0.0.1) has logged in.
[2020/6/2 - 6:49:17] Dawkin_Nguyen (ID: 0 | SQL ID: 1 | Level: 6 | IP: 127.0.0.1) has logged in.
[2020/6/2 - 6:53:21] Dawkin_Nguyen (ID: 0 | SQL ID: 1 | Level: 6 | IP: 127.0.0.1) has logged in.
[2020/6/2 - 6:58:05] Dawkin_Nguyen (ID: 0 | SQL ID: 1 | Level: 6 | IP: 127.0.0.1) has logged in.
[2020/6/2 - 6:59:45] Dawkin_Nguyen (ID: 0 | SQL ID: 1 | Level: 6 | IP: 127.0.0.1) has logged in.
[2020/6/2 - 7:02:23] Dawkin_Nguyen (ID: 0 | SQL ID: 1 | Level: 6 | IP: 127.0.0.1) has logged in.
[2020/6/2 - 7:05:18] Dawkin_Nguyen (ID: 0 | SQL ID: 1 | Level: 6 | IP: 127.0.0.1) has logged in.
[2020/6/2 - 7:10:08] Dawkin_Nguyen (ID: 0 | SQL ID: 1 | Level: 6 | IP: 127.0.0.1) has logged in.
[2020/6/2 - 7:14:46] Dawkin_Nguyen (ID: 0 | SQL ID: 1 | Level: 6 | IP: 127.0.0.1) has logged in.
[2020/6/2 - 7:26:39] Dawkin_Nguyen (ID: 0 | SQL ID: 1 | Level: 6 | IP: 127.0.0.1) has logged in.
[2020/6/2 - 9:07:43] Dawkin_Nguyen (ID: 0 | SQL ID: 1 | Level: 6 | IP: 127.0.0.1) has disconnected.
[2020/6/2 - 9:12:01] Dawkin_Nguyen (ID: 0 | SQL ID: 1 | Level: 6 | IP: 127.0.0.1) has logged in.
[2020/6/4 - 3:31:32] Silvia_Howard (ID: 0 | SQL ID: 497 | Level: 1 | IP: 127.0.0.1) has logged in.
[2020/6/4 - 3:35:06] Silvia_Howard (ID: 0 | SQL ID: 497 | Level: 1 | IP: 127.0.0.1) has logged in.
[2020/6/4 - 3:37:54] Dawkin_Nguyen (ID: 0 | SQL ID: 1 | Level: 6 | IP: 127.0.0.1) has logged in.
[2020/6/4 - 3:47:09] Dawkin_Nguyen (ID: 0 | SQL ID: 1 | Level: 6 | IP: 127.0.0.1) has logged in.
[2020/6/4 - 5:05:00] Dawkin_Nguyen (ID: 0 | SQL ID: 1 | Level: 6 | IP: 127.0.0.1) has logged in.
[2020/6/4 - 5:17:44] Dawkin_Nguyen (ID: 0 | SQL ID: 1 | Level: 6 | IP: 127.0.0.1) has logged in.
[2020/6/4 - 5:21:32] Dawkin_Nguyen (ID: 0 | SQL ID: 1 | Level: 6 | IP: 127.0.0.1) has logged in.
[2020/6/4 - 5:28:08] Dawkin_Nguyen (ID: 0 | SQL ID: 1 | Level: 6 | IP: 127.0.0.1) has logged in.
[2020/6/4 - 5:34:17] Dawkin_Nguyen (ID: 0 | SQL ID: 1 | Level: 6 | IP: 127.0.0.1) has disconnected.
[2020/6/5 - 7:15:09] Dawkin_Nguyen (ID: 0 | SQL ID: 1 | Level: 6 | IP: 127.0.0.1) has logged in.
[2020/6/5 - 7:25:00] Dawkin_Nguyen (ID: 0 | SQL ID: 1 | Level: 6 | IP: 127.0.0.1) has timed out.
[2020/6/5 - 7:29:59] Dawkin_Nguyen (ID: 0 | SQL ID: 1 | Level: 6 | IP: 127.0.0.1) has logged in.
[2020/6/5 - 7:32:14] Dawkin_Nguyen (ID: 0 | SQL ID: 1 | Level: 6 | IP: 127.0.0.1) has disconnected.
[2020/6/5 - 7:34:01] Dawkin_Nguyen (ID: 0 | SQL ID: 1 | Level: 6 | IP: 127.0.0.1) has logged in.
[2020/6/5 - 7:35:32] Dawkin_Nguyen (ID: 0 | SQL ID: 1 | Level: 6 | IP: 127.0.0.1) has disconnected.
[2020/6/5 - 7:42:56] Dawkin_Nguyen (ID: 0 | SQL ID: 1 | Level: 6 | IP: 127.0.0.1) has logged in.
[2020/6/5 - 7:47:01] Dawkin_Nguyen (ID: 0 | SQL ID: 1 | Level: 6 | IP: 127.0.0.1) has disconnected.
[2020/6/5 - 17:55:15] Dawkin_Nguyen (ID: 0 | SQL ID: 1 | Level: 6 | IP: 127.0.0.1) has logged in.
[2020/6/5 - 18:02:54] Dawkin_Nguyen (ID: 0 | SQL ID: 1 | Level: 6 | IP: 127.0.0.1) has logged in.
[2020/6/5 - 18:03:13] Dawkin_Nguyen (ID: 0 | SQL ID: 1 | Level: 6 | IP: 127.0.0.1) has disconnected.
[2020/6/5 - 18:17:30] Dawkin_Nguyen (ID: 0 | SQL ID: 1 | Level: 6 | IP: 127.0.0.1) has logged in.
[2020/6/5 - 18:35:06] Dawkin_Nguyen (ID: 0 | SQL ID: 1 | Level: 6 | IP: 127.0.0.1) has logged in.
[2021/1/17 - 19:14:50] Dawkin_Nguyen (ID: 0 | SQL ID: 1 | Level: 4 | IP: 127.0.0.1) has logged in.
[2021/1/17 - 19:14:56] Dawkin_Nguyen (ID: 0 | SQL ID: 1 | Level: 4 | IP: 127.0.0.1) has disconnected.
[2021/6/30 - 18:27:12] Nguyen_Thjen_Phong (ID: 0 | SQL ID: 2 | Level: 1 | IP: 127.0.0.1) has logged in.
[2021/6/30 - 18:38:14] Nguyen_Thjen_Phong (ID: 0 | SQL ID: 2 | Level: 1 | IP: 127.0.0.1) has logged in.
[2021/6/30 - 18:54:35] Nguyen_Thjen_Phong (ID: 0 | SQL ID: 2 | Level: 1 | IP: 127.0.0.1) has logged in.
[2021/6/30 - 19:01:29] Nguyen_Thjen_Phong (ID: 0 | SQL ID: 2 | Level: 1 | IP: 127.0.0.1) has logged in.
[2021/6/30 - 19:03:50] Nguyen_Thjen_Phong (ID: 0 | SQL ID: 2 | Level: 1 | IP: 127.0.0.1) has timed out.
[2021/6/30 - 19:04:58] Nguyen_Thjen_Phong (ID: 0 | SQL ID: 2 | Level: 1 | IP: 127.0.0.1) has logged in.
[2021/6/30 - 19:16:10] Nguyen_Thjen_Phong (ID: 0 | SQL ID: 2 | Level: 1 | IP: 127.0.0.1) has timed out.
[2021/6/30 - 20:27:36] Nguyen_Thjen_Phong (ID: 0 | SQL ID: 2 | Level: 1 | IP: 127.0.0.1) has logged in.
[2021/6/30 - 21:01:41] Nguyen_Thjen_Phong (ID: 0 | SQL ID: 2 | Level: 1 | IP: 127.0.0.1) has logged in.
[2021/6/30 - 21:08:26] Nguyen_Thjen_Phong (ID: 0 | SQL ID: 2 | Level: 1 | IP: 127.0.0.1) has logged in.
[2021/6/30 - 21:18:18] Nguyen_Thjen_Phong (ID: 0 | SQL ID: 2 | Level: 1 | IP: 127.0.0.1) has logged in.
[2021/6/30 - 21:43:52] Nguyen_Thjen_Phong (ID: 0 | SQL ID: 2 | Level: 1 | IP: 127.0.0.1) has logged in.
[2021/6/30 - 22:13:37] Nguyen_Thjen_Phong (ID: 0 | SQL ID: 2 | Level: 1 | IP: 127.0.0.1) has logged in.
[2021/6/30 - 23:23:11] Nguyen_Thjen_Phong (ID: 0 | SQL ID: 2 | Level: 1 | IP: 127.0.0.1) has logged in.
[2021/6/30 - 23:27:50] Nguyen_Thjen_Phong (ID: 0 | SQL ID: 2 | Level: 1 | IP: 127.0.0.1) has timed out.
[2021/7/1 - 12:17:33] Nguyen_Thjen_Phong (ID: 0 | SQL ID: 2 | Level: 1 | IP: 127.0.0.1) has logged in.
[2021/7/1 - 12:42:38] Nguyen_Thjen_Phong (ID: 0 | SQL ID: 2 | Level: 1 | IP: 127.0.0.1) has logged in.
[2021/7/1 - 13:01:15] Nguyen_Thjen_Phong (ID: 0 | SQL ID: 2 | Level: 1 | IP: 127.0.0.1) has logged in.
[2021/7/1 - 13:17:26] Nguyen_Thjen_Phong (ID: 0 | SQL ID: 2 | Level: 1 | IP: 127.0.0.1) has logged in.
[2021/7/1 - 13:42:29] Nguyen_Thjen_Phong (ID: 0 | SQL ID: 2 | Level: 1 | IP: 127.0.0.1) has logged in.
[2021/7/1 - 14:04:51] Nguyen_Thjen_Phong (ID: 0 | SQL ID: 2 | Level: 1 | IP: 127.0.0.1) has logged in.
[2021/7/1 - 14:07:26] Nguyen_Thjen_Phong (ID: 0 | SQL ID: 2 | Level: 1 | IP: 127.0.0.1) has disconnected.
[2021/7/1 - 14:13:26] Nguyen_Thjen_Phong (ID: 0 | SQL ID: 2 | Level: 1 | IP: 127.0.0.1) has logged in.
[2021/7/1 - 14:24:38] Nguyen_Thjen_Phong (ID: 0 | SQL ID: 2 | Level: 1 | IP: 127.0.0.1) has logged in.
[2021/7/1 - 14:34:00] Nguyen_Thjen_Phong (ID: 0 | SQL ID: 2 | Level: 1 | IP: 127.0.0.1) has timed out.
[2021/7/1 - 14:34:55] Nguyen_Thjen_Phong (ID: 0 | SQL ID: 2 | Level: 1 | IP: 127.0.0.1) has logged in.
[2021/7/1 - 14:40:55] Nguyen_Thjen_Phong (ID: 0 | SQL ID: 2 | Level: 1 | IP: 127.0.0.1) has logged in.
[2021/7/1 - 14:41:41] Nguyen_Thjen_Phong (ID: 0 | SQL ID: 2 | Level: 1 | IP: 127.0.0.1) has disconnected.
[2021/7/1 - 14:42:21] Nguyen_Thjen_Phongb (ID: 0 | SQL ID: 3 | Level: 1 | IP: 127.0.0.1) has logged in.
[2021/7/1 - 14:58:46] Nguyen_Thjen_Phongb (ID: 0 | SQL ID: 3 | Level: 1 | IP: 127.0.0.1) has disconnected.
[2022/7/28 - 5:57:38] Tommy_William (ID: 0 | SQL ID: 494 | Level: 1 | IP: 58.187.21.244) has logged in.
[2022/7/28 - 5:57:44] Khac_Diepa (ID: 1 | SQL ID: 495 | Level: 1 | IP: 117.0.24.212) has logged in.
[2022/7/28 - 6:05:44] Khac_Diepa (ID: 1 | SQL ID: 495 | Level: 1 | IP: 117.0.24.212) has timed out.
[2022/7/28 - 6:07:49] Khac_Diepa (ID: 0 | SQL ID: 495 | Level: 1 | IP: 117.0.24.212) has logged in.
